Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
menuItem,All Day Menu,Pizzas,Korean BBQ,,,,[],false,77.0,24.13,0.60,1858.08,0.0,0.0,0.0,1858.08,153.37,0.0,0.0
"",All Day Menu,Pasta,,,,,,,66.0,12.21,,805.85,0.0,0.0,0.0,805.85,66.37,0.0,0.0
menuItem,All Day Menu,Pasta,Alfredo Pasta,,,,[],false,28.0,12.66,9.99,354.47,0.0,0.0,0.0,354.47,29.21,0.0,0.0
menuItem,All Day Menu,Pasta,Tomato Basil Pasta,,,,[],false,22.0,11.89,9.99,261.64,0.0,0.0,0.0,261.64,21.54,0.0,0.0
menuItem,All Day Menu,Pasta,Naga Habanero Pasta,,,,[],false,16.0,11.86,9.99,189.74,0.0,0.0,0.0,189.74,15.62,0.0,0.0
"",All Day Menu,Wraps,,,,,,,71.0,8.20,,582.24,0.0,0.0,0.0,582.24,48.09,0.0,0.0
menuItem,All Day Menu,Wraps,Beef Chopped Cheese,,,,[],false,31.0,8.38,7.99,259.65,0.0,0.0,0.0,259.65,21.44,0.0,0.0
menuItem,All Day Menu,Wraps,Chicken Wrap,,,,[],false,31.0,7.99,7.99,247.69,0.0,0.0,0.0,247.69,20.46,0.0,0.0
menuItem,All Day Menu,Wraps,Mushroom Wrap,,,,[],false,4.0,7.99,7.99,31.96,0.0,0.0,0.0,31.96,2.64,0.0,0.0
menuItem,All Day Menu,Wraps,Paneer Wrap,,,,[],false,5.0,8.59,7.99,42.94,0.0,0.0,0.0,42.94,3.55,0.0,0.0
"",All Day Menu,Drinks,,,,,,,37.0,2.38,,87.91,0.0,0.0,0.0,87.91,7.13,0.0,0.0
menuItem,All Day Menu,Drinks,Soda (Can),,,,[],false,28.0,2.50,2.50,70.0,0.0,0.0,0.0,70.0,5.66,0.0,0.0
menuItem,All Day Menu,Drinks,Water (small),,,,[],false,9.0,1.99,1.99,17.91,0.0,0.0,0.0,17.91,1.47,0.0,0.0
"",All Day Menu,Side,,,,,,,351.0,1.47,,514.49,0.0,0.0,0.0,514.49,41.76,0.0,0.0
menuItem,All Day Menu,Side,Hot Honey,,,,[],false,77.0,1.99,1.99,153.23,0.0,0.0,0.0,153.23,12.38,0.0,0.0
menuItem,All Day Menu,Side,Ranch,,,,[],false,161.0,0.99,0.99,159.39,0.0,0.0,0.0,159.39,13.06,0.0,0.0
menuItem,All Day Menu,Side,Naga Dip,,,,[],false,90.0,1.99,1.99,179.1,0.0,0.0,0.0,179.1,14.48,0.0,0.0
menuItem,All Day Menu,Side,Red Peppers Bags 3,,,,[],false,3.0,0.99,0.99,2.97,0.0,0.0,0.0,2.97,0.24,0.0,0.0
menuItem,All Day Menu,Side,Parmesan Bags 3,,,,[],false,7.0,0.99,0.99,6.93,0.0,0.0,0.0,6.93,0.56,0.0,0.0
menuItem,All Day Menu,Side,Side Olives,,,,[],false,10.0,0.99,0.99,9.9,0.0,0.0,0.0,9.9,0.8,0.0,0.0
menuItem,All Day Menu,Side,Side Jalapeno,,,,[],false,3.0,0.99,0.99,2.97,0.0,0.0,0.0,2.97,0.24,0.0,0.0
"",Doordash Menu,,,,,,,,699.0,18.11,,12657.20,0.0,0.0,0.0,12657.20,1044.04,0.0,0.0
