Sales Category,Item Name,Modifier,,Avg Price,Quantity,Gross Sales,Discount Amount,Net Sales
No Sales Category,Naga Habanero Pasta,Halal,,,1,0,0,0,
No Sales Category,Naga Dip,,,1.99,225,447.75,0,447.75,
No Sales Category,Naga Dip,Order Note: Doordash Marketplace,,,28,0,0,0,
No Sales Category,Naga Dip,Order Note: Please leave at front door,,,1,0,0,0,
No Sales Category,Naga Dip,Order Note: N/A,,,1,0,0,0,
No Sales Category,Harissa Chicken,,,22.07661924119241,198,4383.77,0,4383.77,
No Sales Category,Harissa Chicken,14" LARGE,,,114,2400.86,0,2400.86,
No Sales Category,Harissa Chicken,No black olives| No cilantro 

Thank you!,,,1,0,0,0,
No Sales Category,Harissa Chicken,Black Olives,,,1,1.99,0,1.99,
No Sales Category,Harissa Chicken,Extra Cheese,,,2,3.98,0,3.98,
No Sales Category,Harissa Chicken,Jalapeno,,,2,1.98,0,1.98,
No Sales Category,Harissa Chicken,Sauteed Ghee Mushrooms,,,4,7.96,0,7.96,
No Sales Category,Harissa Chicken,Cilantro,,,4,3.96,0,3.96,
No Sales Category,Harissa Chicken,Can we do olives on only half of the pizza| thanks!!,,,1,0,0,0,
No Sales Category,Harissa Chicken,No black olives please.,,,1,0,0,0,
No Sales Category,Harissa Chicken,No black olives,,,3,0,0,0,
No Sales Category,Harissa Chicken,Please dont put cilantro on top. No cilantro please,,,1,0,0,0,
No Sales Category,Harissa Chicken,No Cilantro on top please. No Cilantro,,,2,0,0,0,
